SKU,Product Name,Product Category,Keywords,Description
S0580301001_BLACK,Black Zip Detail Bomber Jacket,womens jackets,"bomber jacket,womens jackets",
S0580501012_BITTER CHOCOLATE,Bitter Chocolate Oversized Sweat,womens sweaters,"oversized sweat, womens sweaters",
S0582503010_BLACK,Black Large Glitter Mix Panel Purse,womens purses,"glitter panel purse, womens purses",
S0580308016_SAGE,Sage Chevron Longline Puffer Gilet,womens gilets,"puffer gilet, womens gilets",
S0581503004_BLACK,Black Bardot Tunic,womens tunics,"bardot tunic, womens tunics",
TESTPRODUCT,LIGHT KHAKI CASUAL BELTED BODYCON DRESS,womens dresses,"bodycon dress, womens dresses",
